Dim.1
quanti
   ;correlation;p.value;
CATAEU=CATAEU_111;-0.6148;0;
TUU=TUU_7;-0.6725;0;
TUU=TUU_6;-0.5121;0;
TUU=TUU_5;-0.2882;0;
TYPLOG=TYPLOG_7;-0.5527;0;
TYPLOG=TYPLOG_6;-1.6279;0;
TYPLOG=TYPLOG_5;-0.3207;0;
TYPLOG=TYPLOG_4;-0.1381;0;
TYPVOIS=TYPVOIS_5;-0.4547;0;
TYPVOIS=TYPVOIS_4;-0.4758;0;
TYPVOIS=TYPVOIS_3;-0.8721;0;
CSP8PR=CSP8PR_8;-0.3356;0;
CSP8PR=CSP8PR_6;-0.3185;0;
CSP8PR=CSP8PR_5;-0.6126;0;
CSP8PR=CSP8PR_4;-0.5074;0;
CSP8PR=CSP8PR_3;-0.5999;0;
CSP8PR=CSP8PR_0;-1.3275;0;
CS42PR=CS42PR_84;-2.3485;0;
CS42PR=CS42PR_69;-1.0416;0;
CS42PR=CS42PR_68;-0.5895;0;
CS42PR=CS42PR_67;-0.3483;0;
CS42PR=CS42PR_65;-0.3522;0;
CS42PR=CS42PR_64;-0.104;0;
CS42PR=CS42PR_63;-0.2626;0;
CS42PR=CS42PR_62;-0.0531;0;
CS42PR=CS42PR_56;-0.5502;0;
CS42PR=CS42PR_55;-0.7005;0;
CS42PR=CS42PR_54;-0.5925;0;
CS42PR=CS42PR_53;-0.2648;0;
CS42PR=CS42PR_52;-0.5189;0;
CS42PR=CS42PR_48;-0.4769;0;
CS42PR=CS42PR_47;-0.3094;0;
CS42PR=CS42PR_46;-0.6088;0;
CS42PR=CS42PR_45;-0.2344;0;
CS42PR=CS42PR_43;-0.3247;0;
CS42PR=CS42PR_42;-0.5948;0;
CS42PR=CS42PR_38;-0.8475;0;
CS42PR=CS42PR_37;-0.1057;0;
CS42PR=CS42PR_35;-0.764;0;
CS42PR=CS42PR_34;-1.0469;0;
CS42PR=CS42PR_33;-0.6856;0;
CS42PR=CS42PR_23;-0.5106;0;
CS42PR=CS42PR_0;-1.2657;0;
AGEPR=AGEPR_59;-0.5987;0;
AGEPR=AGEPR_58;-0.3388;0;
AGEPR=AGEPR_55;-0.5252;0;
AGEPR=AGEPR_54;-0.566;0;
AGEPR=AGEPR_53;-0.2947;0;
AGEPR=AGEPR_51;-0.3928;0;
AGEPR=AGEPR_50;-0.6846;0;
AGEPR=AGEPR_47;-0.8853;0;
AGEPR=AGEPR_45;-0.7966;0;
AGEPR=AGEPR_44;-1.047;0;
AGEPR=AGEPR_43;-0.9312;0;
